character,unicode,short description,tags,LLM description
🇬🇱,U+1F1EC 1F1F1,GREENLAND,['Greenland' 'flag' 'Arctic' 'Inuit' 'culture' 'climate change'],"This emoji represents Greenland, a large island country in the Arctic region known for its stunning landscapes, rich Inuit culture, and its impact on climate change."
🇬🇩,U+1F1EC 1F1E9,GRENADA,['Grenada' 'flag' 'Caribbean' 'island' 'culture' 'heritage'],"This emoji represents Grenada, a Caribbean island nation known for its beautiful beaches, lush rainforests, and vibrant culture with strong ties to its African heritage."
🇬🇵,U+1F1EC 1F1F5,GUADELOUPE,['Guadeloupe' 'flag' 'Caribbean' 'France' 'culture' 'Creole' 'cuisine'],"This emoji represents Guadeloupe, a French overseas department and region in the Caribbean known for its beautiful beaches, rich culture, and vibrant Creole cuisine."
🇬🇺,U+1F1EC 1F1FA,GUAM,['Guam' 'flag' 'island' 'culture' 'Pacific Ocean' 'United States'],"This emoji represents Guam, an island territory of the United States known for its beautiful beaches, rich culture, and strategic location in the Pacific Ocean."
🇬🇹,U+1F1EC 1F1F9,GUATEMALA,"['Guatemala' 'flag' 'Central America' 'culture' 'heritage' 'Mayan'
 'textiles' 'celebration' 'Day of the Dead']","This emoji represents Guatemala, a Central American country known for its rich Mayan heritage, diverse landscapes, and vibrant culture, including traditional textiles and colorful celebrations like Day of the Dead."
🇬🇬,U+1F1EC 1F1EC,GUERNSEY,"['Guernsey' 'flag' 'British' 'island' 'English Channel' 'culture'
 'heritage']","This emoji represents Guernsey, a British Crown dependency located in the English Channel, known for its beautiful coastline, rich history, and strong cultural heritage."
🇬🇳,U+1F1EC 1F1F3,GUINEA,['Guinea' 'flag' 'West Africa' 'culture' 'heritage'],"This emoji represents Guinea, a West African country known for its rich cultural heritage, diverse landscapes, and historical significance in the region."
🇬🇼,U+1F1EC 1F1FC,GUINEA-BISSAU,['Guinea-Bissau' 'flag' 'Africa' 'culture' 'history' 'nature'],"This emoji represents Guinea-Bissau, a West African country known for its vibrant culture, rich history, and diverse ecosystems including mangrove swamps, tropical forests, and sandy beaches."
🇬🇾,U+1F1EC 1F1FE,GUYANA,['Guyana' 'flag' 'South America' 'nature' 'culture' 'heritage'],"This emoji represents Guyana, a country in South America known for its diverse ecosystems, including rainforests, wetlands, and coastal regions, as well as its rich cultural heritage and history."
🇭🇹,U+1F1ED 1F1F9,HAITI,['Haiti' 'flag' 'Caribbean' 'culture' 'resilience'],"This emoji represents Haiti, a Caribbean country known for its rich culture, vibrant music, and resilient people who have faced numerous challenges throughout history."
🇭🇲,U+1F1ED 1F1F2,HEARD & MCDONALD ISLANDS,"['Heard and McDonald Islands' 'territory' 'Indian Ocean' 'wildlife'
 'geology' 'remote']","This emoji represents Heard and McDonald Islands, a remote and uninhabited territory located in the Indian Ocean, known for its unique wildlife and geological features."
🇭🇳,U+1F1ED 1F1F3,HONDURAS,['Honduras' 'flag' 'Central America' 'culture' 'heritage'],"This emoji represents Honduras, a Central American country known for its diverse landscapes, rich cultural heritage, and vibrant traditions."
🇭🇰,U+1F1ED 1F1F0,HONG KONG SAR CHINA,['Hong Kong' 'China' 'flag' 'culture' 'city' 'trade' 'finance' 'skyline'],"This emoji represents Hong Kong Special Administrative Region of China, a vibrant city known for its unique blend of Eastern and Western cultures, iconic skyline, and significant role in global trade and finance."
🇭🇺,U+1F1ED 1F1FA,HUNGARY,['Hungary' 'flag' 'Central Europe' 'culture' 'history'],"This emoji represents Hungary, a Central European country known for its rich history, beautiful architecture, and cultural contributions to the world, including music, literature, and film."
🆔,U+1F194,ID BUTTON,['ID' 'button' 'identification' 'authentication' 'verification' 'personal'],"This emoji represents an ID button, often used to symbolize identification, authentication, or personal information verification."
🇮🇸,U+1F1EE 1F1F8,ICELAND,['Iceland' 'flag' 'Nordic' 'landscape' 'culture' 'arts'],"This emoji represents Iceland, a Nordic island nation known for its stunning landscapes, including glaciers, geysers, and volcanoes, as well as its rich cultural heritage and vibrant arts scene."
🇮🇳,U+1F1EE 1F1F3,INDIA,['India' 'flag' 'culture' 'history' 'geography' 'South Asia'],"This emoji represents India, a country known for its rich history, diverse culture, and vibrant landscapes, including the Himalayan mountains, the Thar desert, and the tropical forests."
🇮🇩,U+1F1EE 1F1E9,INDONESIA,"['Indonesia' 'flag' 'culture' 'Southeast Asia' 'history' 'islands'
 'nature' 'beauty']","This emoji represents Indonesia, a Southeast Asian country known for its diverse culture, rich history, and thousands of islands with unique ecosystems and natural beauty."
🇮🇷,U+1F1EE 1F1F7,IRAN,['Iran' 'flag' 'culture' 'history' 'Persian Empire'],"This emoji represents Iran, a country with a rich history, diverse culture, and significant contributions to art, literature, and science, known for its ancient civilization, the Persian Empire."
🇮🇶,U+1F1EE 1F1F6,IRAQ,['Iraq' 'flag' 'culture' 'Middle East' 'history'],"This emoji represents Iraq, a country in Western Asia known for its rich history, cultural heritage, and diverse landscapes including deserts, mountains, and rivers."
🇮🇪,U+1F1EE 1F1EA,IRELAND,['Ireland' 'flag' 'culture' 'history' 'landscape'],"This emoji represents Ireland, a country known for its rich history, vibrant culture, and stunning landscapes, including the iconic Cliffs of Moher and the Ring of Kerry."
🇮🇲,U+1F1EE 1F1F2,ISLE OF MAN,"['Isle of Man' 'flag' 'British Crown dependency' 'culture' 'history'
 'landscape']","This emoji represents the Isle of Man, a self-governing British Crown dependency located in the Irish Sea, known for its rich history, stunning landscapes, and vibrant culture."
🇮🇱,U+1F1EE 1F1F1,ISRAEL,['Israel' 'flag' 'Middle East' 'culture' 'history'],"This emoji represents Israel, a country in the Middle East known for its rich history, diverse culture, and significant contributions to science, technology, and arts."
🇮🇹,U+1F1EE 1F1F9,ITALY,"['Italy' 'flag' 'Europe' 'culture' 'history' 'art' 'fashion' 'cuisine'
 'landmarks']","This emoji represents Italy, a European country known for its rich history, art, fashion, and cuisine, as well as its beautiful landscapes and iconic landmarks like the Leaning Tower of Pisa and the Colosseum."
🇯🇲,U+1F1EF 1F1F2,JAMAICA,"['Jamaica' 'flag' 'Caribbean' 'culture' 'music' 'reggae' 'beach' 'sports'
 'politics']","This emoji represents Jamaica, a Caribbean island nation known for its vibrant culture, beautiful beaches, and reggae music, as well as its contributions to sports and politics."
🇯🇵,U+1F1EF 1F1F5,JAPAN,['Japan' 'flag' 'culture' 'technology' 'tradition'],"This emoji represents Japan, a country known for its rich culture, technology, and unique traditions such as tea ceremonies, anime, and sushi."
🉑,U+1F251,JAPANESE ACCEPTABLE BUTTON,['Japanese' 'acceptable' 'approval' 'agreement' 'button' 'form' 'survey'],"This emoji represents the Japanese 'acceptable' button, often used in forms or surveys to indicate approval or agreement."
🈸,U+1F238,JAPANESE APPLICATION BUTTON,['Japanese' 'button' 'application' 'function' 'action' 'culture'],"This emoji represents a Japanese application button, often used in online platforms and software to indicate a specific function or action, commonly found in Japanese culture."
🉐,U+1F250,JAPANESE BARGAIN BUTTON,['Japanese' 'bargain' 'auction' 'negotiation' 'haggle' 'sales' 'price'],"This emoji represents a Japanese bargain button, used in auctions and sales to signal a lower price or a desire to negotiate, often associated with the concept of 'haggle' or 'bargain'."
🏯,U+1F3EF,JAPANESE CASTLE,"['Japanese castle' 'architecture' 'history' 'culture' 'traditional'
 'symbol' 'complex']","This emoji represents a Japanese castle, a symbol of traditional Japanese architecture, history, and culture, often featuring a complex design with multiple buildings, walls, and towers."
㊗️,U+3297 FE0F,JAPANESE CONGRATULATIONS BUTTON,"['Japanese' 'congratulations' 'success' 'praise' 'acknowledgment' 'button'
 'emoji']","This emoji represents a Japanese congratulations button, often used to express praise, success, or acknowledgment in various contexts, such as social media, messaging, and gaming."
㊗,U+3297,JAPANESE CONGRATULATIONS BUTTON,"['Japanese' 'congratulations' 'success' 'celebration' 'achievement'
 'praise' 'milestone' 'special occasion']","This emoji represents a Japanese congratulations button, often used to express praise, success, or celebration in various contexts, such as achievements, milestones, or special occasions."
🈹,U+1F239,JAPANESE DISCOUNT BUTTON,['Japanese' 'discount' 'sale' 'promotion' 'button' 'offer' 'retail'],"This emoji represents a Japanese discount button, often used to indicate sales, discounts, or promotional offers in Japan."
🎎,U+1F38E,JAPANESE DOLLS,"['Japanese dolls' 'tradition' 'festival' 'ceremony' 'luck' 'happiness'
 'celebration']","This emoji represents Japanese dolls, often used in traditional festivals and ceremonies, symbolizing good luck, happiness, and the celebration of life."
🈚,U+1F21A,JAPANESE FREE OF CHARGE BUTTON,['free of charge' 'Japan' 'button' 'cost' 'service' 'availability'],"This emoji represents the Japanese 'free of charge' button, often used to indicate that a service or item is available without any cost."
🈁,U+1F201,JAPANESE HERE BUTTON,['Japanese' 'here' 'button' 'location' 'public' 'direction'],"This emoji represents a Japanese 'here' button, commonly found in public spaces like train stations and shops, indicating the current location or position of an object or person."
🈷️,U+1F237 FE0F,JAPANESE MONTHLY AMOUNT BUTTON,"['Japanese' 'monthly' 'button' 'fee' 'charge' 'recurring' 'retail'
 'services']","This emoji represents a Japanese monthly amount button, often used in retail and services to indicate a recurring fee or charge for a month."
🈷,U+1F237,JAPANESE MONTHLY AMOUNT BUTTON,['Japanese' 'monthly' 'button' 'fee' 'cost' 'recurring'],"This emoji represents a Japanese monthly amount button, often used in retail and services to indicate a recurring fee or cost for a month."
🈵,U+1F235,JAPANESE NO VACANCY BUTTON,['Japanese' 'No Vacancy' 'occupied' 'restroom' 'unavailable' 'public'],"This emoji represents the Japanese 'No Vacancy' button, commonly found in public restrooms, indicating that the facility is currently occupied and unavailable for use."
🈶,U+1F236,JAPANESE NOT FREE OF CHARGE BUTTON,['Japanese' 'not free' 'charge' 'button' 'sign' 'retail' 'public space'],"This emoji represents a Japanese button or sign indicating that a service or item is not free of charge, often used in retail settings or public spaces."
🈺,U+1F23A,JAPANESE OPEN FOR BUSINESS BUTTON,['Japanese' 'business' 'open' 'store' 'service' 'establishment'],"This emoji represents the Japanese 'Open for Business' button, often used to indicate that a store, service, or establishment is available for customers or clients."
🈴,U+1F234,JAPANESE PASSING GRADE BUTTON,['Japanese' 'passing grade' 'education' 'exam' 'success' 'approval'],"This emoji represents a Japanese passing grade button, often used in schools and exams to indicate that a student has passed or met the minimum requirements."
🏣,U+1F3E3,JAPANESE POST OFFICE,['Japanese' 'post office' 'gate' 'travel' 'culture' 'welcome'],"This emoji represents a Japanese post office or a traditional Japanese gate, often used to symbolize travel, welcoming, or cultural exploration."
🈲,U+1F232,JAPANESE PROHIBITED BUTTON,"['Japanese' 'prohibited' 'no smoking' 'no entry' 'forbidden' 'rules'
 'culture' 'norms']","This emoji represents a Japanese prohibited button, often used to indicate 'no smoking', 'no entry', or 'forbidden' in various contexts, reflecting the cultural norms and rules in Japan."
🈯,U+1F22F,JAPANESE RESERVED BUTTON,['Japanese' 'reserved' 'unavailable' 'caution' 'hesitation' 'out of stock'],"This emoji represents a Japanese reserved button, often used to indicate that something is temporarily unavailable, out of stock, or to show a sense of caution or hesitation."
㊙️,U+3299 FE0F,JAPANESE SECRET BUTTON,['Japanese' 'secret button' 'restroom' 'sound' 'notification' 'privacy'],"This emoji represents a Japanese secret button, often found in public restrooms, which when pressed, plays a sound to signal that someone is using the facility."
㊙,U+3299,JAPANESE SECRET BUTTON,['Japanese' 'secret button' 'restroom' 'etiquette' 'recording' 'public'],"This emoji represents a Japanese secret button, often found in public restrooms, which when pressed, plays a recording that explains the proper etiquette and usage of the facilities."
🈂️,U+1F202 FE0F,JAPANESE SERVICE CHARGE BUTTON,['Japanese' 'service charge' 'button' 'retail' 'restaurant' 'price'],"This emoji represents a Japanese service charge button, often used in retail and restaurants to indicate that a service charge is included or not included in the price."
🈂,U+1F202,JAPANESE SERVICE CHARGE BUTTON,['Japanese' 'service charge' 'button' 'retail' 'restaurant' 'price'],"This emoji represents a Japanese service charge button, often used in retail and restaurants to indicate that a service charge is included or not included in the price."
🔰,U+1F530,JAPANESE SYMBOL FOR BEGINNER,"['beginner' 'novice' 'Japanese' 'symbol' 'starting point' 'entry level'
 'learning']","This emoji represents the Japanese symbol for 'beginner' or 'novice', often used to indicate a starting point or entry level in various contexts, such as learning a language or skill."
